X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,Tipo
0.023026,-0.217936,1.9586,0.019842,0.129373,2.00175,0.01665,0.461646,2.02922,0.043155,0.624232,2.03369,-0.134947,0.309924,1.96781,-0.195493,0.052053,1.91802,-0.192656,-0.150025,1.80805,-0.181159,-0.199025,1.78751,0.19649,0.298131,2.01169,0.22879,0.03268,1.96192,0.224039,-0.166959,1.84755,0.205601,-0.202829,1.83231,-0.053761,-0.210758,1.90774,-0.05914,-0.648719,1.89749,-0.078879,-1.08571,1.8345,-0.066042,-1.09275,1.7118,0.0988,-0.215956,1.92716,0.094018,-0.649282,1.88864,0.118467,-1.08896,1.80044,0.127547,-1.0957,1.67797,0.017454,0.380531,2.02492,-0.162579,-0.263031,1.76623,-0.151344,-0.203065,1.75518,0.191468,-0.267091,1.79902,0.250063,-0.181936,1.81602,0
0.023026,-0.218023,1.9585,0.019864,0.129315,2.00162,0.016698,0.461617,2.02905,0.04316,0.624226,2.03365,-0.134993,0.309929,1.96778,-0.195275,0.05208,1.91779,-0.19249,-0.149871,1.80802,-0.180838,-0.197747,1.78564,0.195977,0.29731,2.01074,0.228749,0.032748,1.96188,0.224053,-0.166702,1.84759,0.204671,-0.201886,1.8316,-0.053765,-0.210777,1.90766,-0.059207,-0.648789,1.89745,-0.078816,-1.08532,1.83382,-0.066146,-1.09238,1.71106,0.098806,-0.216152,1.92703,0.094352,-0.649739,1.8883,0.119158,-1.08871,1.79957,0.128057,-1.09545,1.67705,0.017496,0.380494,2.02476,-0.162084,-0.262123,1.76333,-0.140199,-0.210267,1.76384,0.192303,-0.267276,1.79779,0.25013,-0.181357,1.8157,0
0.023058,-0.218107,1.95849,0.01987,0.129305,2.00161,0.016687,0.461661,2.02898,0.043163,0.624275,2.03366,-0.134986,0.309948,1.96776,-0.195147,0.052004,1.91769,-0.192252,-0.149919,1.80802,-0.180786,-0.198659,1.78629,0.195984,0.297285,2.01071,0.228724,0.032774,1.96188,0.224049,-0.166626,1.84764,0.205371,-0.202792,1.83294,-0.053739,-0.210824,1.90767,-0.057732,-0.64981,1.89727,-0.079313,-1.08541,1.83422,-0.066636,-1.09246,1.71149,0.098842,-0.216277,1.927,0.094365,-0.649741,1.8883,0.119428,-1.08873,1.79885,0.12832,-1.09545,1.67635,0.017491,0.380519,2.02471,-0.160524,-0.26256,1.764,-0.141674,-0.206497,1.76607,0.191726,-0.267967,1.80078,0.249349,-0.183266,1.81564,0
0.023006,-0.218097,1.95845,0.019852,0.129315,2.00158,0.016686,0.46167,2.02897,0.04315,0.624316,2.03363,-0.135035,0.309965,1.96773,-0.195021,0.051981,1.91761,-0.192021,-0.149914,1.80796,-0.180205,-0.197533,1.78585,0.195988,0.297293,2.01072,0.228691,0.032829,1.96188,0.224051,-0.166559,1.8477,0.205364,-0.202218,1.83293,-0.053796,-0.210809,1.90759,-0.057692,-0.649823,1.89725,-0.079728,-1.08541,1.83487,-0.067055,-1.09242,1.71228,0.098796,-0.216269,1.92697,0.094458,-0.649492,1.88832,0.119628,-1.08861,1.7984,0.128504,-1.09528,1.67605,0.017487,0.380529,2.0247,-0.160607,-0.263303,1.76429,-0.137333,-0.209136,1.77065,0.191688,-0.267832,1.80187,0.249794,-0.182498,1.81571,0
0.023004,-0.218101,1.95846,0.019848,0.129321,2.00158,0.016671,0.461708,2.02895,0.043077,0.624424,2.03379,-0.135516,0.309811,1.96764,-0.194881,0.051929,1.91752,-0.191839,-0.149981,1.80799,-0.179934,-0.19913,1.78653,0.196016,0.29733,2.01081,0.228679,0.032822,1.96191,0.224054,-0.166535,1.84775,0.205255,-0.203067,1.83489,-0.053797,-0.210831,1.90762,-0.057511,-0.650714,1.89687,-0.079847,-1.08552,1.83508,-0.067171,-1.09249,1.71261,0.098793,-0.216267,1.92698,0.094681,-0.649014,1.88836,0.119509,-1.0886,1.79834,0.128387,-1.09524,1.67611,0.017475,0.380556,2.02469,-0.160056,-0.263123,1.76537,-0.139007,-0.207575,1.76874,0.190916,-0.267297,1.80113,0.241928,-0.187487,1.808,0
0.022988,-0.218153,1.95847,0.019846,0.129311,2.00158,0.016674,0.461711,2.02894,0.043048,0.624451,2.03382,-0.135539,0.309811,1.96762,-0.194818,0.05199,1.9175,-0.191707,-0.149899,1.80805,-0.179546,-0.198464,1.78637,0.195689,0.297025,2.0105,0.228655,0.032812,1.96194,0.224089,-0.16656,1.84792,0.205445,-0.202837,1.8358,-0.053807,-0.210848,1.90764,-0.058149,-0.649429,1.89732,-0.079448,-1.08529,1.83481,-0.066835,-1.09224,1.71241,0.09877,-0.216371,1.92697,0.094898,-0.649148,1.88824,0.119493,-1.08854,1.79816,0.128316,-1.09516,1.676,0.017476,0.380556,2.02468,-0.158499,-0.263317,1.7654,-0.136592,-0.207565,1.77534,0.190056,-0.267707,1.80141,0.249005,-0.182954,1.81599,0
0.023034,-0.218505,1.95846,0.019863,0.129247,2.00157,0.016682,0.461727,2.02893,0.043029,0.624493,2.03385,-0.135577,0.309889,1.96764,-0.194629,0.051683,1.91738,-0.1916,-0.150162,1.80789,-0.180245,-0.198075,1.7876,0.195697,0.297046,2.01049,0.228624,0.032895,1.96204,0.224099,-0.166467,1.84804,0.205414,-0.202638,1.83513,-0.053763,-0.211141,1.90766,-0.058017,-0.649503,1.89728,-0.079736,-1.08545,1.83478,-0.067134,-1.09236,1.71247,0.098815,-0.216761,1.92691,0.095102,-0.649413,1.88811,0.119794,-1.0888,1.79799,0.128593,-1.09538,1.67593,0.017483,0.380559,2.02468,-0.159966,-0.264043,1.76544,-0.138138,-0.205861,1.77244,0.191865,-0.267739,1.80224,0.252159,-0.201571,1.82553,0
0.023013,-0.218579,1.95847,0.019862,0.129234,2.00158,0.016688,0.461736,2.02893,0.043009,0.624516,2.03384,-0.1356,0.309893,1.96764,-0.194487,0.05154,1.91736,-0.191475,-0.150311,1.80792,-0.179677,-0.199185,1.78808,0.1957,0.297042,2.0105,0.228598,0.032891,1.96233,0.224168,-0.166411,1.84825,0.205996,-0.203467,1.83712,-0.05378,-0.211199,1.90767,-0.057726,-0.64956,1.8973,-0.080023,-1.08545,1.83467,-0.067427,-1.09234,1.71245,0.098791,-0.216843,1.92693,0.095192,-0.650504,1.8879,0.11924,-1.0888,1.79707,0.128037,-1.09535,1.67509,0.017486,0.380562,2.02468,-0.158934,-0.264775,1.76665,-0.137631,-0.208466,1.77286,0.192563,-0.268084,1.80541,0.250693,-0.186745,1.81999,0
0.023056,-0.218639,1.95849,0.019865,0.129231,2.00159,0.016677,0.461767,2.02894,0.042976,0.624535,2.03382,-0.136016,0.309707,1.96757,-0.194307,0.051491,1.91729,-0.191441,-0.150412,1.80802,-0.179303,-0.198808,1.78861,0.195705,0.297044,2.0105,0.228603,0.033074,1.96263,0.224255,-0.166236,1.84862,0.205976,-0.203195,1.83692,-0.053726,-0.211293,1.9077,-0.057645,-0.64959,1.89727,-0.080549,-1.08545,1.83458,-0.067962,-1.09231,1.71247,0.098823,-0.216874,1.92693,0.095316,-0.650555,1.88777,0.119439,-1.0888,1.7971,0.128213,-1.09531,1.67523,0.017481,0.380578,2.02469,-0.160067,-0.264215,1.7666,-0.139375,-0.210714,1.76772,0.192014,-0.268443,1.80572,0.250106,-0.190485,1.81931,0
0.023085,-0.218646,1.95849,0.01988,0.129229,2.00159,0.016683,0.46177,2.02893,0.042951,0.62457,2.03379,-0.135993,0.309736,1.96756,-0.194143,0.051401,1.91734,-0.191389,-0.150485,1.80809,-0.180527,-0.199193,1.78952,0.195716,0.297093,2.01055,0.228607,0.033201,1.96276,0.224328,-0.166117,1.84883,0.206481,-0.203196,1.83738,-0.053655,-0.211174,1.90771,-0.058083,-0.64901,1.89719,-0.080402,-1.08531,1.83483,-0.067822,-1.09212,1.71287,0.09888,-0.217025,1.9269,0.095336,-0.650396,1.88771,0.119509,-1.08886,1.79704,0.128278,-1.09532,1.67533,0.017489,0.38058,2.02468,-0.158475,-0.264554,1.76731,-0.138891,-0.209133,1.77118,0.192892,-0.268292,1.80456,0.250357,-0.187812,1.81914,0
